scope,method,label,n,tp,tn,fp,fn,accuracy,precision,recall_sensitivity,specificity,f1,balanced_accuracy,mcc,cohen_kappa,human_prevalence,model_prevalence,discordant_human1_model0,discordant_human0_model1,mcnemar_exact_p_two_sided
method_anypsr,cabsallm,AnyPSR,200,92,81,8,19,0.865,0.92,0.8288288288288288,0.9101123595505618,0.8720379146919431,0.8694705941896953,0.7344569882007762,0.73,0.555,0.5,19,8,0.052238985896110535
method_anypsr,fewshot,AnyPSR,200,65,75,14,46,0.7,0.8227848101265823,0.5855855855855856,0.8426966292134831,0.6842105263157895,0.7141411073995343,0.4353918565059189,0.4135470628482064,0.555,0.395,46,14,4.223704562267977e-05
method_anypsr,keyword,AnyPSR,200,92,37,52,19,0.645,0.6388888888888888,0.8288288288288288,0.4157303370786517,0.7215686274509804,0.6222795829537402,0.2706856155841785,0.25388818831441784,0.555,0.72,19,52,0.00011226864689498799
cue_cabsallm_vs_human,cabsallm,ATT,200,20,172,8,0,0.96,0.7142857142857143,1.0,0.9555555555555556,0.8333333333333333,0.9777777777777779,0.8261595987094035,0.811320754716981,0.1,0.14,0,8,0.0078125
cue_cabsallm_vs_human,cabsallm,RS,200,31,161,0,8,0.96,1.0,0.7948717948717948,1.0,0.8857142857142858,0.8974358974358974,0.8701980967911438,0.8618546019685718,0.195,0.155,8,0,0.0078125
cue_cabsallm_vs_human,cabsallm,SD,200,71,102,8,19,0.865,0.8987341772151899,0.7888888888888889,0.9272727272727272,0.8402366863905325,0.858080808080808,0.7288235664710692,0.7242083758937692,0.45,0.395,19,8,0.052238985896110535
