indicator,count,rate,ci95_lo,ci95_hi
AttachmentIntimacy,532,0.01056855655767015,0.009693968771107316,0.011442647701537606
ReplySeekingReciprocity,12924,0.25674440780325003,0.2530091580913028,0.2600431085859589
SelfIdentificationToOP,459,0.00911835988716278,0.008283503516230284,0.009953216258095275
AnyPSRIndicator,13132,0.2608764750288053,0.25727978862886886,0.26445279907823116
