psr_count,n_posts,op_rate,mutual_rate
0,2178,0.17033976124885217,0.08494031221303948
1,1550,0.2670967741935484,0.15225806451612903
2,559,0.37924865831842575,0.23971377459749552
3,147,0.48299319727891155,0.25170068027210885
